Conversation_ID,Domain,Turn,Speaker,Sentence,Sentiment,Intent,Rule_Category,Specific_Rule,Violation,Risk_Level
C1,Debt Collection,1,Agent,"For your information, Third-party disclosure of debt.",Neutral,Statement,FDCPA,Third-party disclosure of debt,Yes,High
C1,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C2,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Helpful,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C2,Debt Collection,2,Customer,That doesn't seem right.,Confused,Response,None,None,No,Low
C3,Debt Collection,1,Agent,I need to inform you that Providing debt validation notice.,Threatening,Statement,FDCPA,Providing debt validation notice,No,Low
C3,Debt Collection,2,Customer,Can you explain more?,Concerned,Response,None,None,No,Low
C4,Debt Collection,1,Agent,"For your information, Refusing debt validation request.",Threatening,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C4,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
C5,Debt Collection,1,Agent,Please note that Harassment through repeated calls.,Neutral,Statement,FDCPA,Harassment through repeated calls,Yes,High
C5,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C6,Debt Collection,1,Agent,Please note that Providing mini-miranda disclosure.,Threatening,Statement,FDCPA,Providing mini-miranda disclosure,No,Low
C6,Debt Collection,2,Customer,I wasn't aware of that.,Neutral,Response,None,None,No,Low
C7,Debt Collection,1,Agent,Our records indicate that Refusing debt validation request.,Helpful,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C7,Debt Collection,2,Customer,Thank you for clarifying.,Concerned,Response,None,None,No,Low
C8,Debt Collection,1,Agent,"For your information, Calling before 8 AM or after 9 PM.",Serious,Statement,FDCPA,Calling before 8 AM or after 9 PM,Yes,High
C8,Debt Collection,2,Customer,I wasn't aware of that.,Concerned,Response,None,None,No,Low
C9,Debt Collection,1,Agent,I need to inform you that Harassment through repeated calls.,Serious,Statement,FDCPA,Harassment through repeated calls,Yes,High
C9,Debt Collection,2,Customer,Thank you for clarifying.,Confused,Response,None,None,No,Low
C10,Debt Collection,1,Agent,Our records indicate that Refusing debt validation request.,Threatening,Statement,FDCPA,Refusing debt validation request,Yes,Medium
C10,Debt Collection,2,Customer,I would like documentation for that.,Neutral,Response,None,None,No,Low
